Time-Stamp,DeviceID,DeviceType,Status,MAX_High_Current,MIN_High_Current,MAX_Mid_Current,MIN_Mid_Current,MAX_Low_Current,MIN_Low_Current,MAX_Off_Current,MIN_Off_Current,SW1,Current-1,SW2,Current-2,SW3,Current-3,SW4,Current-4,Lot_ID,Issue-Name,Print_Status,Firmware_Version
2024-07-04 14:34:19,F4CE360DBE93BD60,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,963 mA,off,11 mA,1,836 mA,2,980 mA,DEMO-L202411,,1,
2024-07-02 10:25:49,F4CE360E1FC5A5AB,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,912 mA,off,10 mA,1,966 mA,2,955 mA,DEMO-L202411,,1,
2024-07-02 10:25:49,F4CE360E74AB7DAA,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,922 mA,off,11 mA,1,976 mA,2,934 mA,DEMO-L202411,,1,
2024-07-04 15:15:21,F4CE360EECA07A26,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,HIGH,802 mA,OFF,11 mA,LOW,832 mA,MID,869 mA,DEMO-L202411,,1,
2024-07-04 14:16:01,F4CE360F7697FC69,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,973 mA,off,12 mA,1,911 mA,2,1008 mA,DEMO-L202411,,1,
2024-07-01 13:59:24,F4CE361028FB40FC,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,989 mA,off,11 mA,1,895 mA,2,997 mA,DEMO-L202411,,1,
2024-07-04 10:49:42,F4CE3610EAF32397,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,955 mA,off,11 mA,1,856 mA,2,1164 mA,DEMO-L202411,,1,
2024-07-04 15:15:21,F4CE361105B2E110,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,832 mA,off,11 mA,1,829 mA,2,999 mA,DEMO-L202411,,1,
2024-07-02 13:42:23,F4CE36113515BF1E,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,946 mA,off,10 mA,1,903 mA,2,860 mA,DEMO-L202411,,1,
2024-07-03 16:06:07,F4CE36115DDDAC70,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,865 mA,off,11 mA,1,1088 mA,2,1067 mA,DEMO-L202411,,1,
2024-07-01 13:10:39,F4CE361187C10FD7,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,978 mA,off,10 mA,1,856 mA,2,901 mA,DEMO-L202411,,1,
2024-07-04 15:15:21,F4CE3611989772E8,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,968 mA,off,10 mA,1,1032$mA,2,841 mA,DEMO-L202411,,1,
2024-07-03 16:06:07,F4CE3611DF570ABB,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,1039 mA,off,11 mA,1,951 mA,2,1041 mA,DEMO-L202411,,1,
2024-07-02 10:25:49,F4CE361227A5C3F1,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,899 mA,off,13 mA,1,1025 mA,2,964 mA,DEMO-L202411,,1,
2024-07-02 11:47:55,F4CE36125D82AE2C,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,917 mA,off,11 mA,1,888 mA,2,928 mA,DEMO-L202411,,1,
2024-07-02 10:18:00,F4CE36126783AEE8,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,999 mA,off,11 mA,1,847 mA,2,844 mA,DEMO-L202411,,1,
2024-07-01 16:06:31,F4CE36128C082023,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,HIGH,858 mA,OFF,11 mA,LOW,867 mA,MID,929 mA,DEMO-L202411,,1,
2024-07-04 15:15:21,F4CE3612A4C58971,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,997 mA,off,10 mA,1,950 mA,2,988 mA,DEMO-L202411,,1,
2024-07-04 15:15:21,F4CE3612CD4093CB,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,905 mA,off,11 mA,1,879 mA,2,1041 mA,DEMO-L202411,,1,
2024-07-04 15:15:21,F4CE3613C914D55C,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,877 mA,off,11 mA,1,1004 mA,2,983 mA,DEMO-L202411,,1,
2024-07-02 10:12:23,F4CE361497294864,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,HIGH,882 mA,OFF,12 mA,LOW,926 mA,MID,870 mA,DEMO-L202411,,1,
2024-07-01 13:10:39,F4CE361499E45C0C,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,959 mA,off,13 mA,1,1010 mA,2,917 mA,DEMO-L202411,,1,
